Order ID,ship-city,ship-state,ship-postal-code,ship-country
402-6238827-8301902,Adilabad,TELANGANA,504001,IN
402-6238827-8301902,Adilabad,TELANGANA,504001,IN
402-1453158-9791553,Adilabad,TELANGANA,500001,IN
402-2662354-3366750,Adimaly,KERALA,685561,IN
407-3414170-0041152,ADINAD,KERALA,690542,IN
171-4885061-0337950,ADINAD,KERALA,690573,IN
407-5790340-7633955,"ADIPUR, GANDHIDHAM",Gujarat,370205,IN
402-8707827-6796360,Adityapur/ Jamshedpur,JHARKHAND,831013,IN
171-3935718-1879528,Adoni,ANDHRA PRADESH,518302,IN
408-5624898-8906732,ADONI,ANDHRA PRADESH,518302,IN
408-0034872-0054735,ADONI,ANDHRA PRADESH,518302,IN
408-5304038-4420333,ADONI,ANDHRA PRADESH,518301,IN
406-6446036-3761167,ADONI,ANDHRA PRADESH,518301,IN
407-8905817-8145160,ADONI,ANDHRA PRADESH,518301,IN
408-3438012-5229158,ADONI,ANDHRA PRADESH,518301,IN
405-5067568-1151563,ADOOR,KERALA,691551,IN
403-3064973-5434721,Adoor,KERALA,691552,IN
403-6785348-8409957,Adoor,KERALA,691552,IN
405-8975246-5568303,ADOOR,KERALA,691554,IN
171-1002600-7563553,ADOOR,KERALA,689694,IN
171-1002600-7563553,ADOOR,KERALA,689694,IN
404-1068225-5593137,ADRA,WEST BENGAL,723121,IN
402-6191318-7477117,Adyal,MAHARASHTRA,441903,IN
408-1613945-5572346,AFZALGARH,UTTAR PRADESH,246722,IN
407-5768366-4875511,AGAR,MADHYA PRADESH,465441,IN
403-8967455-5704338,AGAR,MADHYA PRADESH,465441,IN
403-5113987-3984315,AGAR,MADHYA PRADESH,465441,IN
408-6931517-6992355,AGAR,MADHYA PRADESH,465441,IN
408-0360583-7620331,AGAR,MADHYA PRADESH,465441,IN
402-1639444-7762742,AGAR Malwa,MADHYA PRADESH,465441,IN
402-7452575-8228313,AGAR Malwa,MADHYA PRADESH,465441,IN
404-7072330-6010739,Agarpara,WEST BENGAL,700109,IN
405-4558544-7448349,AGARTALA,TRIPURA,799003,IN
407-1450322-3656343,AGARTALA,TRIPURA,799006,IN
402-1689265-3757967,AGARTALA,TRIPURA,799001,IN
171-4848506-9169918,agartala,TRIPURA,799004,IN
171-8682710-4631538,AGARTALA,TRIPURA,799001,IN
405-7415161-3913930,AGARTALA,TRIPURA,799003,IN
171-5575199-8363543,AGARTALA,TRIPURA,799007,IN
408-2156925-5763518,Agartala,TRIPURA,799001,IN
171-0012414-2446770,AGARTALA,TRIPURA,799001,IN
406-2714759-6535566,AGARTALA,TRIPURA,799005,IN
408-0771713-6574758,AGARTALA,TRIPURA,799007,IN
407-6636150-5081165,AGARTALA,TRIPURA,799004,IN
403-3265630-6820360,Agartala,TRIPURA,799001,IN
403-1118019-7923516,Agartala,TRIPURA,799001,IN
406-0255636-3837913,AGARTALA,TRIPURA,799001,IN
406-0255636-3837913,AGARTALA,TRIPURA,799001,IN
408-2644686-8584301,AGARTALA,TRIPURA,799001,IN
402-8009958-6166753,AGARTALA,TRIPURA,799008,IN
402-0207593-3396342,AGARTALA,TRIPURA,799008,IN
405-2168839-9016320,AGARTALA,TRIPURA,799003,IN
406-6502399-8558757,AGARTALA,TRIPURA,799006,IN
408-9551282-5755521,Agartala,TRIPURA,799001,IN
405-2965422-3248327,AGARTALA,TRIPURA,799002,IN
171-5510849-4865113,AGARTALA,TRIPURA,799003,IN
408-5442861-1137138,AGARTALA,TRIPURA,799001,IN
408-5165373-6386761,AGARTALA,TRIPURA,799001,IN
407-4109226-9135565,AGARTALA,TRIPURA,799004,IN
407-0968946-6309952,AGARTALA,TRIPURA,799004,IN
